proc_code,total_claims,underpaid_claims,pct_underpaid_claims,total_contracted_amt,total_paid_amt,total_underpaid_amt,avg_underpaid_amt,mean_pct_underpaid,payment_ratio
36415,46,7,15.22,4085.0,3485.0,600.0,85.71,0.95,85.31
71020,49,3,6.12,5445.0,5068.0,377.0,125.67,0.97,93.08
81001,60,6,10.0,2850.0,2513.0,337.0,56.17,0.88,88.18
93000,50,5,10.0,1490.0,1332.5,157.5,31.5,0.9,89.43
99203,47,2,4.26,775.0,643.0,132.0,66.0,0.95,82.97
99213,59,6,10.17,1180.0,1076.0,104.0,17.33,0.87,91.19
99214,51,3,5.88,900.0,846.0,54.0,18.0,0.9,94.0
80050,39,2,5.13,710.0,674.0,36.0,18.0,0.9,94.93
90471,53,3,5.66,480.0,466.25,13.75,4.58,0.92,97.14
87086,46,1,2.17,435.0,425.0,10.0,10.0,1.0,97.7
